County,GEOID,Active,Inactive,Late_Registration,Provisional,Total_Registered,CVAP,Ratio_RegA_CVAP,CVAP_Native_LOW,CVAP_Native_HIGH,CVAP_Share_Native_LOW,CVAP_Share_Native_HIGH,VAP_U35_LOW,VAP_U35_HIGH,VAP_Share_U35_LOW,VAP_Share_U35_HIGH,VAP_Share_U35_EST,RegA_U35,RegA_Share_U35,Gap_Share_U35_LOW,Gap_Share_U35_HIGH,NotRegA_U35_LOW,NotRegA_U35_High
Beaverhead,05000US30001,5432,1017,2,3,6454,7525,72%,99,361,0.013156146,0.047973422,2121,2393,0.27574103,0.311102444,0.293421737,1105,0.203424153,7%,11%,1016,1288
Big Horn,05000US30003,5444,1542,2,37,7025,8750,62%,5159,5421,0.5896,0.619542857,2806,3134,0.317816287,0.354966587,0.336391437,1260,0.231447465,9%,12%,1546,1874
Blaine,05000US30005,3343,615,,,3958,4625,72%,2050,2200,0.443243243,0.475675676,1322,1448,0.284362228,0.311464831,0.29791353,836,0.250074783,3%,6%,486,612
Broadwater,05000US30007,3752,469,,2,4223,4585,82%,2,288,0.000436205,0.062813522,661,1067,0.143570808,0.231754996,0.187662902,599,0.159648188,-2%,7%,62,468
Carbon,05000US30009,7164,401,,2,7567,8515,84%,38,222,0.004462713,0.026071638,1392,1528,0.162711864,0.178609001,0.170660432,1155,0.161222781,0%,2%,237,373
Carter,05000US30011,870,91,,,961,1065,82%,0,46,0,0.043192488,166,316,0.155868545,0.296713615,0.22629108,195,0.224137931,-7%,7%,0,121
Cascade,05000US30013,38651,6502,,,45153,62745,62%,2936,3834,0.046792573,0.06110447,19152,19946,0.301991517,0.314511424,0.30825147,7074,0.183022432,12%,13%,12078,12872
Chouteau,05000US30015,2959,494,,1,3454,4365,68%,729,839,0.167010309,0.192210767,1050,1174,0.23814924,0.266273531,0.252211386,526,0.177762758,6%,9%,524,648
Custer,05000US30017,5460,1035,4,,6499,9230,59%,104,396,0.011267606,0.042903575,2312,2700,0.248281787,0.289948454,0.26911512,918,0.168131868,8%,12%,1394,1782
Daniels,05000US30019,1034,115,,1,1150,1395,74%,0,33,0,0.023655914,145,367,0.102982955,0.260653409,0.181818182,158,0.152804642,-5%,11%,0,209
Dawson,05000US30021,4853,537,4,,5394,7120,68%,88,352,0.012359551,0.049438202,1851,2049,0.255839668,0.283206634,0.269523151,988,0.203585411,5%,8%,863,1061
Deer Lodge,05000US30023,4615,746,,9,5370,7665,60%,105,485,0.01369863,0.063274625,1260,2006,0.163891779,0.260926119,0.212408949,626,0.135644637,3%,13%,634,1380
Fallon,05000US30025,1526,218,2,,1746,2135,71%,0,81,0,0.03793911,458,730,0.212037037,0.337962963,0.275,314,0.20576671,1%,13%,144,416
Fergus,05000US30027,6868,395,,,7263,8860,78%,48,302,0.005417607,0.034085779,1776,2230,0.197223765,0.2476402,0.222431982,1205,0.175451369,2%,7%,571,1025
Flathead,05000US30029,61980,8519,4,2,70505,74055,84%,1221,2039,0.016487746,0.02753359,17777,18781,0.238192221,0.251644715,0.244918468,12581,0.202984834,4%,5%,5196,6200
Gallatin,05000US30031,72037,8622,25,103,80787,78520,92%,875,1485,0.011143658,0.018912379,31892,32738,0.397735209,0.408285942,0.403010576,25615,0.35558116,4%,5%,6277,7123
Garfield,05000US30033,819,60,,,879,860,95%,0,30,0,0.034883721,155,319,0.180023229,0.370499419,0.275261324,144,0.175824176,0%,19%,11,175
Glacier,05000US30035,6057,1494,5,27,7583,9205,66%,5623,5917,0.610863661,0.642802825,2829,3431,0.302372809,0.366716546,0.334544677,1528,0.252270101,5%,11%,1301,1903
Golden Valley,05000US30037,498,45,,,543,595,84%,0,31,0,0.05210084,15,89,0.025252525,0.14983165,0.087542088,70,0.140562249,-12%,1%,0,19
Granite,05000US30039,2041,199,,,2240,2570,79%,0,68,0,0.026459144,314,442,0.121001927,0.170327553,0.14566474,277,0.135717785,-1%,3%,37,165
Hill,05000US30041,7146,1414,,20,8580,11830,60%,2239,2601,0.189264582,0.219864751,3809,3987,0.318718099,0.33361225,0.326165174,1569,0.219563392,10%,11%,2240,2418
Jefferson,05000US30043,7586,896,5,,8487,9095,83%,161,409,0.017702034,0.044969764,1630,1804,0.177463255,0.196407186,0.18693522,1061,0.139862905,4%,6%,569,743
Judith Basin,05000US30045,1290,105,3,,1398,1635,79%,0,86,0,0.052599388,191,441,0.116534472,0.269066504,0.192800488,185,0.143410853,-3%,13%,6,256
Lake,05000US30047,15389,2802,13,9,18213,22020,70%,5032,5806,0.228519528,0.263669391,5138,5452,0.23018682,0.24425429,0.237220555,2359,0.153291312,8%,9%,2779,3093
Lewis and Clark,05000US30049,39328,5872,29,62,45291,51630,76%,1267,1893,0.024539996,0.03666473,13423,14181,0.258437783,0.273031826,0.265734804,7544,0.19182262,7%,8%,5879,6637
Liberty,05000US30051,1064,86,,,1150,1870,57%,0,30,0,0.016042781,331,611,0.176816239,0.326388889,0.251602564,166,0.156015038,2%,17%,165,445
Lincoln,05000US30053,11960,924,,3,12887,15590,77%,267,611,0.017126363,0.03919179,2496,2860,0.158597026,0.181725759,0.170161393,1492,0.124749164,3%,6%,1004,1368
Madison,05000US30057,5619,588,,3,6210,6480,87%,0,52,0,0.008024691,1105,1367,0.165667166,0.204947526,0.185307346,769,0.136857092,3%,7%,336,598
McCone,05000US30055,1146,22,,,1168,1300,88%,2,158,0.001538462,0.121538462,187,379,0.142639207,0.289092296,0.215865751,229,0.19982548,-6%,9%,0,150
Meagher,05000US30059,1096,136,,1,1233,1470,75%,0,88,0,0.059863946,161,415,0.108857336,0.280594997,0.194726166,159,0.145072993,-4%,14%,2,256
Mineral,05000US30061,2917,,4,,2921,3425,85%,0,90,0,0.026277372,497,713,0.145151869,0.208235981,0.176693925,393,0.13472746,1%,7%,104,320
Missoula,05000US30063,69009,12240,42,253,81544,90740,76%,2593,3747,0.028576152,0.041293806,33506,35036,0.363468715,0.380065955,0.371767335,19699,0.28545552,8%,9%,13807,15337
Musselshell,05000US30065,2678,578,3,,3259,3725,72%,0,149,0,0.04,611,783,0.162846482,0.208688699,0.185767591,305,0.113890963,5%,9%,306,478
Park,05000US30067,10833,1661,4,,12498,12795,85%,109,371,0.008518953,0.028995701,2563,3063,0.197609869,0.23616037,0.21688512,1915,0.17677467,2%,6%,648,1148
Petroleum,05000US30069,336,26,,,362,375,90%,0,30,0,0.08,16,76,0.042440318,0.201591512,0.122015915,67,0.199404762,-16%,0%,0,9
Phillips,05000US30071,2437,285,,,2722,3170,77%,254,386,0.080126183,0.121766562,524,812,0.165091367,0.255828607,0.210459987,441,0.180960197,-2%,7%,83,371
Pondera,05000US30073,3015,551,1,1,3568,4495,67%,550,648,0.122358176,0.144160178,1118,1150,0.245336844,0.252359008,0.248847926,574,0.190381426,5%,6%,544,576
Powder River,05000US30075,1100,128,,,1228,1325,83%,0,91,0,0.068679245,181,335,0.134873323,0.249627422,0.192250373,183,0.166363636,-3%,8%,0,152
Powell,05000US30077,3330,208,,,3538,5860,57%,222,456,0.037883959,0.0778157,1279,1555,0.21803614,0.265086942,0.241561541,487,0.146246246,7%,12%,792,1068
Prairie,05000US30079,800,61,,,861,1020,78%,0,30,0,0.029411765,39,169,0.03816047,0.165362035,0.101761252,149,0.18625,-15%,-2%,0,20
Ravalli,05000US30081,27900,1722,11,2,29635,32915,85%,258,812,0.007838372,0.024669604,6115,6667,0.1847153,0.201389518,0.193052409,4277,0.153297491,3%,5%,1838,2390
Richland,05000US30083,5273,1485,,1,6759,8390,63%,110,520,0.013110846,0.061978546,2202,2746,0.257573985,0.321207159,0.289390572,1058,0.200644794,6%,12%,1144,1688
Roosevelt,05000US30085,4145,1284,,57,5486,7470,55%,3864,4336,0.517269076,0.580455154,2574,2690,0.340927152,0.356291391,0.348609272,900,0.217129071,12%,14%,1674,1790
Rosebud,05000US30087,3875,817,1,8,4701,6540,59%,1934,2214,0.295718654,0.33853211,1735,1775,0.262759352,0.268817204,0.265788278,713,0.184,8%,8%,1022,1062
Sanders,05000US30089,7035,837,2,9,7883,9245,76%,405,575,0.043807463,0.062195782,1443,1603,0.154496788,0.171627409,0.163062099,787,0.111869225,4%,6%,656,816
Sheridan,05000US30091,2047,311,,,2358,2775,74%,14,166,0.005045045,0.05981982,528,782,0.18743344,0.277600284,0.232516862,332,0.162188569,3%,12%,196,450
Silver Bow,05000US30093,18732,2688,6,31,21457,27065,69%,407,1103,0.015037872,0.040753741,7686,8482,0.279206626,0.308122639,0.293664632,3962,0.211509716,7%,10%,3724,4520
Stillwater,05000US30095,5384,656,,,6040,7225,75%,46,194,0.006366782,0.026851211,1278,1534,0.174948665,0.209993155,0.19247091,728,0.135215453,4%,7%,550,806
Sweet Grass,05000US30097,2334,251,,1,2586,2800,83%,0,120,0,0.042857143,276,612,0.097492052,0.216178029,0.156835041,370,0.158526135,-6%,6%,0,242
Teton,05000US30099,3524,342,,2,3868,4600,77%,67,193,0.014565217,0.041956522,965,1073,0.209191416,0.232603512,0.220897464,558,0.158342792,5%,7%,407,515
Toole,05000US30101,2136,341,,,2477,3995,53%,196,442,0.049061327,0.110638298,901,1195,0.223019802,0.295792079,0.259405941,360,0.168539326,5%,13%,541,835
Treasure,05000US30103,502,18,,,520,635,79%,0,34,0,0.053543307,64,208,0.100946372,0.32807571,0.214511041,98,0.195219124,-9%,13%,0,110
Valley,05000US30105,4645,237,4,,4886,5835,80%,389,641,0.066666667,0.109854327,1215,1551,0.206211813,0.263238289,0.234725051,904,0.194617869,1%,7%,311,647
Wheatland,05000US30107,1142,195,,,1337,1545,74%,0,81,0,0.052427184,255,561,0.160883281,0.353943218,0.257413249,184,0.161120841,0%,19%,71,377
Wibaux,05000US30109,586,96,1,,683,855,69%,0,30,0,0.035087719,43,245,0.049311927,0.280963303,0.165137615,98,0.167235495,-12%,11%,0,147
Yellowstone,05000US30111,84827,7849,34,15,92725,117965,72%,4584,5706,0.038858984,0.048370279,34209,34911,0.286473948,0.292352655,0.289413302,18707,0.220531199,7%,7%,15502,16204
